File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\IsMCoreToolChainSupported.java,16,11,7,1,5,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\LCCBuildRunner.java,64,42,33,7,10,0,12,31,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\LCCMakeFileGenerator.java,73,47,30,5,18,0,8,55,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\MDTBuildPlugin.java,61,23,18,1,13,1,25,50,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\errorparser\LCCErrorParser.java,41,28,23,3,12,0,1,21,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\nature\MCoreNature.java,87,47,37,5,12,0,28,44,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\nature\McoreNatureCore.java,90,59,48,5,21,0,10,56,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.build\src\ch\fhnw\mdt\build\nature\MCoreProjectBuilder.java,62,45,40,4,15,1,2,14,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\LCCDebuggerPlugin.java,51,20,15,1,11,1,20,45,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCDebugger.java,30,20,14,2,8,0,2,8,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCEventManager.java,40,30,22,1,10,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCLineBreakpoint.java,68,53,35,6,15,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCLocator.java,83,70,46,26,13,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCSession.java,59,43,27,6,15,0,1,2,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCSessionConfiguration.java,20,13,8,2,6,0,1,4,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCTarget.java,397,294,157,40,101,0,2,13,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCTargetConfiguration.java,122,95,51,21,27,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\LCCThread.java,170,115,60,8,45,0,10,40,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\events\LCCResumedEvent.java,27,19,13,2,8,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.debugger\src\ch\fhnw\mdt\debugger\lcc\events\LCCSuspendedEvent.java,59,42,30,4,17,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\ForthDebuggerPlugin.java,56,23,16,1,12,1,21,48,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\ForthProcess.java,67,44,26,4,19,0,4,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\ForthProcessFactory.java,20,11,8,1,6,0,3,17,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\communication\ProcessCommunicator.java,900,490,357,39,140,0,270,1137,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\communication\process\DefaultProcessDecorator.java,34,21,13,2,9,0,4,13,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\communication\process\IProcessDectorator.java,28,8,7,0,6,0,14,37,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthDebugElement.java,112,55,38,6,13,0,44,133,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthDebugTarget.java,646,333,233,42,83,4,230,599,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthLineBreakpoint.java,140,77,58,3,24,0,39,215,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthMemoryBlock.java,144,102,76,9,30,1,12,71,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthStackFrame.java,418,173,101,29,43,0,202,426,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthThread.java,648,324,226,43,85,0,239,611,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthValue.java,85,36,23,6,10,0,39,106,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\ForthVariable.java,141,50,29,7,16,0,75,197,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\IForthConstants.java,34,6,5,0,5,0,23,106,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\extensions\IAfterExtension.java,21,6,5,0,4,0,11,44,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\extensions\IForthMemoryBlockExtension.java,32,13,10,0,6,0,13,56,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\extensions\IJumpExtension.java,22,6,5,0,5,0,11,36,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\debugmodel\extensions\IKillProcessExtension.java,22,6,5,0,5,0,11,35,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\sourcelookup\ForthSourceLookupDirector.java,31,9,7,0,3,0,19,87,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\sourcelookup\ForthSourceLookupParticipant.java,36,13,9,3,4,0,19,91,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\sourcelookup\ForthSourcePathComputerDelegate.java,45,17,14,2,4,0,24,105,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\util\ASTUtil.java,39,21,16,5,8,0,10,58,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger\src\ch\fhnw\mdt\forthdebugger\util\Either.java,47,31,23,5,10,0,6,21,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger\test\StressTest.java,81,58,45,5,23,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger\test\TestCommandAwait.java,76,59,43,3,17,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger\test\TestCommandTimeout.java,44,32,23,3,12,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.test\test\ch\fhnw\mdt\forthdebugger\test\TestProcess.java,112,83,61,5,26,0,3,20,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\DataStackView.java,171,106,83,11,21,0,44,76,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\ForthDebuggerUI.java,51,20,15,1,10,1,21,48,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\ForthModelPresentation.java,131,71,48,15,16,0,44,115,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\adapters\ForthCommandAdapterFactory.java,44,35,27,6,9,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\breakpoints\ForthBreakpointAdapterFactory.java,53,25,18,6,4,0,24,86,11,63
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\breakpoints\ForthLineBreakpointAdapter.java,142,80,57,13,19,0,43,132,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after\AfterCommand.java,32,23,16,2,9,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after\AfterCommandAction.java,53,40,22,8,13,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after\AfterCommandActionDelegate.java,11,8,5,0,3,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after\AfterCommandHandler.java,13,8,5,1,5,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\after\IAfterHandler.java,8,4,3,0,4,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump\IJumpHandler.java,8,4,3,0,4,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump\JumpCommand.java,33,24,17,2,9,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump\JumpCommandAction.java,53,40,22,8,13,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump\JumpCommandActionDelegate.java,11,8,5,0,3,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\jump\JumpCommandHandler.java,13,8,5,1,5,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\kill\IKillHandler.java,8,4,3,0,4,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\kill\KillCommand.java,33,24,17,2,9,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\kill\KillCommandAction.java,53,40,22,8,13,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\kill\KillCommandActionDelegate.java,11,8,5,0,3,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\commands\kill\KillCommandHandler.java,13,8,5,1,5,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\memoryrendering\ForthMemoryRenderingTypeDelegate.java,22,12,8,1,6,0,4,11,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.forthdebugger.ui\src\ch\fhnw\mdt\forthdebugger\ui\memoryrendering\ForthTableRendering.java,139,104,72,11,30,0,5,13,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.launch\src\ch\fhnw\mdt\launch\MCoreLaunchDelegate.java,394,261,218,17,70,0,63,249,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.launch\src\ch\fhnw\mdt\launch\MCoreLaunchPlugin.java,51,20,15,1,10,1,21,48,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.launch\src\ch\fhnw\mdt\launch\tab\LaunchConfigurationComposite.java,267,174,148,18,48,0,45,185,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.launch\src\ch\fhnw\mdt\launch\tab\MCoreLaunchConfigurationTab.java,69,50,34,3,15,0,4,10,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.launch\src\ch\fhnw\mdt\launch\tab\group\MCoreLaunchConfigurationTabGroup.java,21,14,11,0,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.platform\src\ch\fhnw\mdt\platform\IPlatformStrings.java,18,5,4,0,3,0,10,36,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.platform\src\ch\fhnw\mdt\platform\IUSBFinder.java,6,3,2,0,3,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.platform\src\ch\fhnw\mdt\platform\MDTPlatformPlugin.java,83,42,32,6,13,1,28,60,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.platform.linux\src\ch\fhnw\mdt\platform\linux\LinuxPlatformStrings.java,21,14,8,2,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.platform.windows\src\ch\fhnw\mdt\platform\windows\WindowsPlatformStrings.java,21,14,8,2,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.preferences\src\ch\fhnw\mdt\preferences\MCorePreferencePage.java,123,91,76,5,21,0,11,27,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.preferences\src\ch\fhnw\mdt\preferences\MDTPreferencesPlugin.java,139,69,55,9,24,1,46,171,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.preferences\src\ch\fhnw\mdt\preferences\SelectUSBDeviceDialog.java,154,92,76,6,24,0,38,137,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.preferences\src\org\eclipse\wb\swt\SWTResourceManager.java,447,229,179,39,3,5,215,942,10,53
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.targets\src\ch\fhnw\mdt\targets\Activator.java,31,15,11,1,8,0,8,12,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ch.fhnw.mdt.ui\src\ch\fhnw\mdt\ui\MDTPlugin.java,67,26,20,2,13,1,28,77,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\PeepholeOptimizer.java,68,54,46,3,14,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\Tuple2.java,16,13,9,1,3,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\OptimizerPass.java,16,5,4,0,5,0,6,15,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\constantfold\ConstantPropagation.java,108,81,62,16,22,0,5,29,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\constantfold\ConstantPropagationOperation.java,47,36,28,4,11,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\Memory.java,63,49,30,14,14,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\Pattern.java,29,21,15,3,8,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\PO.java,111,81,62,17,23,0,7,26,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\symbolicOperation\AbstractOperation.java,26,6,5,0,6,0,14,40,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\symbolicOperation\DyadicSymbolicOperation.java,30,23,15,2,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\optimizer\passes\po\symbolicOperation\SymbolicOperation.java,137,104,90,9,28,0,5,15,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\values\AbstractValue.java,5,3,2,0,2,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\values\DyadicValue.java,66,51,34,14,14,0,1,1,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\Peephole\src\ch\fhnw\peepholeoptimizer\values\SymbolicValue.java,41,34,21,13,7,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\Either.java,36,28,21,4,8,0,0,0,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\ForthCommunicator.java,207,128,101,4,33,1,46,219,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\ForthReader.java,287,177,131,15,52,0,58,236,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\ProcessTest.java,111,50,43,5,18,0,43,87,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\ProcessTest2.java,138,75,64,4,20,0,43,87,0,0
C:\Users\Benjamin\git\ch.fhnw.mdt\\ProcessTest\src\ch\fhnw\processtest\ShowFunction.java,97,61,54,3,30,0,6,18,0,0
